Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Parameter17                                       (9975614,)    38.05M
Parameter18                                           (893,)     3.50K
Parameter19                                           (893,)     3.50K
Parameter20                                           (893,)     3.50K
Parameter21                                         (56973,)   223.00K
Parameter22                                           (638,)     2.50K
Parameter23                                           (638,)     2.50K
Parameter24                                           (638,)     2.50K
Parameter25                                         (35600,)   139.50K
Parameter26                                           (558,)     2.50K
Parameter27                                           (558,)     2.50K
Parameter28                                           (558,)     2.50K
Parameter29                                         (15568,)    61.00K
Parameter30                                           (279,)     1.50K
Parameter31                                           (279,)     1.50K
Parameter32                                           (279,)     1.50K
Parameter33                                          (7784,)    30.50K
Parameter34                                           (279,)     1.50K
Tensor35                                                (1,)   512.00B
Tensor36                                                (1,)   512.00B
Tensor37                                           (111709,)   436.50K
Tensor38                                        (50, 111709)    21.31M
Tensor39                                             (50, 1)   512.00B
Parameter40                                       (256, 279)   279.00K
Parameter41                                           (256,)     1.00K
Parameter42                                       (256, 256)   256.00K
Parameter43                                           (256,)     1.00K
Parameter44                                        (29, 256)    29.00K
Parameter45                                            (29,)   512.00B
Tensor46                                                (1,)   512.00B
Tensor47                                        (2, 9975614)   152.22M
Tensor48                                          (2, 56973)   890.50K
Tensor49                                          (2, 35600)   556.50K
Tensor50                                          (2, 15568)   243.50K
Tensor51                                           (2, 7784)   122.00K
Parameter52                                            (29,)   512.00B
Parameter53                                        (29, 256)    29.00K
Parameter54                                           (256,)     1.00K
Parameter55                                       (256, 256)   256.00K
Parameter56                                           (256,)     1.00K
Parameter57                                       (256, 279)   279.00K
Parameter58                                            (29,)   512.00B
Parameter59                                        (29, 256)    29.00K
Parameter60                                           (256,)     1.00K
Parameter61                                       (256, 256)   256.00K
Parameter62                                           (256,)     1.00K
Parameter63                                       (256, 279)   279.00K
Tensor64                                                (1,)   512.00B
Tensor65                                                (1,)   512.00B
Tensor66                                                (1,)   512.00B
Tensor67                                                (1,)   512.00B
Tensor68                                                (1,)   512.00B
Tensor69                                           (111709,)   436.50K
Tensor70                                           (111709,)   436.50K
Tensor71                                                (1,)   512.00B
Tensor72                                                (1,)   512.00B
Tensor73                                         (1, 111709)     0.00B
Tensor74                                              (8, 1)   512.00B
Tensor75                                                (8,)   512.00B
Tensor76                                              (8, 8)   512.00B
Tensor77                                                (8,)   512.00B
Tensor78                                              (2, 8)   512.00B
Tensor79                                                (2,)   512.00B
Tensor80                                              (8, 1)   512.00B
Tensor81                                                (8,)   512.00B
Tensor82                                              (8, 8)   512.00B
Tensor83                                                (8,)   512.00B
Tensor84                                              (2, 8)   512.00B
Tensor85                                                (2,)   512.00B
Tensor86                                              (8, 1)   512.00B
Tensor87                                                (8,)   512.00B
Tensor88                                              (8, 8)   512.00B
Tensor89                                                (8,)   512.00B
Tensor90                                              (2, 8)   512.00B
Tensor91                                                (2,)   512.00B
Tensor92                                              (8, 1)   512.00B
Tensor93                                                (8,)   512.00B
Tensor94                                              (8, 8)   512.00B
Tensor95                                                (8,)   512.00B
Tensor96                                              (2, 8)   512.00B
Tensor97                                                (2,)   512.00B
Tensor98                                              (8, 1)   512.00B
Tensor99                                                (8,)   512.00B
Tensor100                                             (8, 8)   512.00B
Tensor101                                               (8,)   512.00B
Tensor102                                             (2, 8)   512.00B
Tensor103                                               (2,)   512.00B
Tensor104                                               (1,)   512.00B
Parameter105                                          (8, 1)   512.00B
Parameter105.grad                                     (8, 1)     0.00B
Parameter106                                            (8,)   512.00B
Parameter106.grad                                       (8,)     0.00B
Parameter107                                          (8, 8)   512.00B
Parameter107.grad                                     (8, 8)     0.00B
Parameter108                                            (8,)   512.00B
Parameter108.grad                                       (8,)     0.00B
Parameter109                                          (2, 8)   512.00B
