Element type                                            Size  Used MEM
-------------------------------------------------------------------------------
Storage on cuda:0
Tensor0                                              (10, 1)   512.00B
Tensor1                                              (10, 1)   512.00B
Tensor2                                              (10, 1)   512.00B
Tensor3                                              (10, 1)   512.00B
Tensor4                                              (10, 1)   512.00B
Tensor5                                              (10, 1)   512.00B
Tensor6                                              (10, 1)   512.00B
Tensor7                                              (10, 1)   512.00B
Tensor8                                              (10, 1)   512.00B
Tensor9                                              (10, 1)   512.00B
Tensor10                                             (10, 1)   512.00B
Tensor11                                             (10, 1)   512.00B
Tensor12                                             (10, 1)   512.00B
Tensor13                                             (10, 1)   512.00B
Tensor14                                             (10, 1)   512.00B
Tensor15                                             (10, 1)   512.00B
Tensor16                                             (10, 1)   512.00B
Tensor17                                                (1,)   512.00B
Tensor18                                                (1,)   512.00B
Tensor19                                                (1,)   512.00B
Tensor20                                                (1,)   512.00B
Tensor21                                                (1,)   512.00B
Tensor22                                                (1,)   512.00B
Tensor23                                                (1,)   512.00B
Tensor24                                                (1,)   512.00B
Parameter25                                         (256, 1)     1.00K
Parameter26                                           (256,)     1.00K
Tensor27                                            (256, 1)     1.00K
Tensor28                                              (256,)     2.00K
Parameter29                                       (256, 279)   279.00K
Parameter30                                           (256,)     1.00K
Parameter31                                       (256, 256)   256.00K
Parameter32                                           (256,)     1.00K
Tensor33                                          (256, 256)   256.00K
Tensor34                                              (256,)     2.00K
Parameter35                                       (256, 256)   256.00K
Parameter36                                           (256,)     1.00K
Tensor37                                          (256, 256)   256.00K
Tensor38                                              (256,)     2.00K
Parameter39                                         (2, 256)     2.00K
Parameter40                                             (2,)   512.00B
Tensor41                                            (2, 256)     2.00K
Tensor42                                                (2,)   512.00B
Tensor43                                                (1,)   512.00B
Parameter44                                         (256, 1)     1.00K
Parameter45                                           (256,)     1.00K
Tensor46                                            (256, 1)     1.00K
Tensor47                                              (256,)     2.00K
Parameter48                                       (256, 279)   279.00K
Parameter49                                           (256,)     1.00K
Parameter50                                       (256, 256)   256.00K
Parameter51                                           (256,)     1.00K
Tensor52                                          (256, 256)   256.00K
Tensor53                                              (256,)     2.00K
Parameter54                                       (256, 256)   256.00K
Parameter55                                           (256,)     1.00K
Tensor56                                          (256, 256)   256.00K
Tensor57                                              (256,)     2.00K
Parameter58                                         (2, 256)     2.00K
Parameter59                                             (2,)   512.00B
Tensor60                                            (2, 256)     2.00K
Tensor61                                                (2,)   512.00B
Tensor62                                                (1,)   512.00B
Parameter63                                         (256, 1)     1.00K
Parameter64                                           (256,)     1.00K
Tensor65                                            (256, 1)     1.00K
Tensor66                                              (256,)     2.00K
Parameter67                                       (256, 279)   279.00K
Parameter68                                           (256,)     1.00K
Tensor69                                           (1000, 1)     4.00K
Tensor70                                           (1000, 1)     4.00K
Parameter71                                       (256, 256)   256.00K
Parameter72                                           (256,)     1.00K
Tensor73                                          (256, 256)   256.00K
Tensor74                                              (256,)     2.00K
Parameter75                                       (256, 256)   256.00K
Parameter76                                           (256,)     1.00K
Tensor77                                          (256, 256)   256.00K
Tensor78                                              (256,)     2.00K
Parameter79                                         (2, 256)     2.00K
Parameter80                                             (2,)   512.00B
Tensor81                                            (2, 256)     2.00K
Tensor82                                                (2,)   512.00B
Tensor83                                                (1,)   512.00B
Tensor84                                                (1,)   512.00B
Tensor85                                           (111709,)   436.50K
Tensor86                                           (111709,)   436.50K
Parameter87                                       (9975614,)    38.05M
Parameter88                                           (893,)     3.50K
Tensor89                                        (2, 9975614)   152.22M
Parameter90                                           (893,)     3.50K
Parameter91                                           (893,)     3.50K
Parameter92                                         (56973,)   223.00K
Parameter93                                           (638,)     2.50K
Tensor94                                          (2, 56973)   890.50K
Parameter95                                           (638,)     2.50K
Parameter96                                           (638,)     2.50K
Parameter97                                         (35600,)   139.50K
Parameter98                                           (558,)     2.50K
Tensor99                                          (2, 35600)   556.50K
Parameter100                                          (558,)     2.50K
Parameter101                                          (558,)     2.50K
Parameter102                                        (15568,)    61.00K
Parameter103                                          (279,)     1.50K
Tensor104                                         (2, 15568)   243.50K
Parameter105                                          (279,)     1.50K
Parameter106                                          (279,)     1.50K
Parameter107                                         (7784,)    30.50K
Parameter108                                          (279,)     1.50K
Tensor109                                          (2, 7784)   122.00K
Tensor110                                               (1,)   512.00B
Tensor111                                          (1000, 1)     4.00K
Tensor112                                          (1000, 1)     4.00K
Tensor113                                          (1000, 1)     4.00K
