AC_nfe,vep.LoF
1,HC
1,HC
1887,HC
7,HC
6,HC
1,HC
10,HC
1427,HC
54,HC
1,HC
20,HC
1,HC
27,HC
1,HC
1,HC
5289,HC
1,HC
1,HC
1,HC
2,HC
4,HC
118,HC
1,HC
14,HC
1,HC
1,HC
1,HC
3,HC
1,HC
1,HC
3,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
2,HC
2,HC
1,HC
1,HC
2,HC
1,HC
1,HC
698,HC
1,HC
1,HC
6,HC
1,HC
1,HC
1,HC
2,HC
1,HC
7,HC
1,HC
2,HC
1,HC
1,HC
5,HC
1,HC
2,HC
1,HC
1,HC
7,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
2,HC
4,HC
1,HC
1,HC
7,HC
4,HC
1,HC
5,HC
3,HC
3,HC
4,HC
1,HC
1,HC
1,HC
1,HC
2,HC
41,HC
1,HC
7,HC
3,HC
1,HC
1,HC
1,HC
1,HC
5,HC
1,HC
1,HC
1,HC
2,HC
2,HC
1,HC
2,HC
81,HC
75,HC
1,HC
1,HC
1,HC
3,HC
21,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
3,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
72,HC
255,HC
28,HC
1,HC
1,HC
1,HC
1,HC
11,HC
1,HC
11,HC
1,HC
1,HC
1,HC
1,HC
7,HC
4,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
2,HC
3,HC
1,HC
35,HC
1,HC
1,HC
2,HC
1,HC
1,HC
2,HC
1,HC
3,HC
1,HC
1,HC
2,HC
2,HC
1,HC
4,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
3,HC
1,HC
1,HC
6,HC
1,HC
1,HC
1,HC
1,HC
1,HC
3,HC
2,HC
1,HC
1,HC
5,HC
2,HC
1,HC
4,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
2,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
2,HC
1,HC
1,HC
2,HC
1,HC
5,HC
12,HC
1,HC
1,HC
1,HC
1,HC
1,HC
3,HC
1,HC
6,HC
2,HC
2,HC
3,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
3,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
2,HC
6,HC
392,HC
3,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
2,HC
2,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
66,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
3,HC
1,HC
1,HC
1,HC
3,HC
2,HC
77,HC
2,HC
24,HC
11,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
3,HC
1,HC
6,HC
1,HC
8,HC
1,HC
1,HC
40,HC
1,HC
5,HC
21,HC
1,HC
3,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
2,HC
3,HC
1,HC
1,HC
1,HC
1,HC
137,HC
1,HC
99,HC
1,HC
1,HC
1,HC
1,HC
3,HC
1,HC
1,HC
1,HC
1,HC
2,HC
2,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
44,HC
3,HC
1,HC
3,HC
1,HC
1,HC
50,HC
1,HC
1,HC
1,HC
48,HC
1,HC
5,HC
1,HC
9,HC
2,HC
15,HC
1,HC
2,HC
2,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
2,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
4,HC
2,HC
1,HC
2,HC
1,HC
4,HC
4,HC
1,HC
1,HC
28,HC
2,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
4,HC
5,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
10,HC
4,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
3,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
7,HC
2,HC
1,HC
1,HC
1,HC
1,HC
2,HC
2,HC
1,HC
1,HC
1,HC
1,HC
2,HC
9,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
20,HC
1,HC
9,HC
1,HC
1,HC
1,HC
1,HC
1,HC
5,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
16,HC
1,HC
2,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
3,HC
1,HC
2,HC
1,HC
3,HC
2,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
3,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
4,HC
1,HC
2,HC
11,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
11,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
41,HC
1,HC
3,HC
1,HC
2,HC
1,HC
2,HC
2,HC
5,HC
1,HC
3,HC
1,HC
3,HC
1,HC
6,HC
3,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
11,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
2,HC
3,HC
1,HC
2,HC
1,HC
4,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
1,HC
3,HC
1,HC
1,HC
1,HC
1,HC
2,HC
1,HC
1,HC
2,HC
8,HC
